start,start_state,is_repdigit,distinct_digits,digit_multiset,x,y,descending,ascending,first_result,first_result_state,trajectory,final_attractor,final_attractor_state,iterations_to_attractor,distance_to_6174,distance_to_0000,reaches_6174,reaches_0000,other_cycle_detected,cycle_length,cycle
1158,1158,False,3,1158,7,4,8511,1158,7353,7353,1158 -> 7353 -> 4176 -> 6174 -> 6174,6174,6174,3,3,,True,False,False,1,6174 -> 6174
1159,1159,False,3,1159,8,4,9511,1159,8352,8352,1159 -> 8352 -> 6174 -> 6174,6174,6174,2,2,,True,False,False,1,6174 -> 6174
1160,1160,False,3,0116,6,0,6110,116,5994,5994,1160 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,6,6,,True,False,False,1,6174 -> 6174
1161,1161,False,2,1116,5,0,6111,1116,4995,4995,1161 -> 4995 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,6,6,,True,False,False,1,6174 -> 6174
1162,1162,False,3,1126,5,1,6211,1126,5085,5085,1162 -> 5085 -> 7992 -> 7173 -> 6354 -> 3087 -> 8352 -> 6174 -> 6174,6174,6174,7,7,,True,False,False,1,6174 -> 6174
1163,1163,False,3,1136,5,2,6311,1136,5175,5175,1163 -> 5175 -> 5994 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,7,7,,True,False,False,1,6174 -> 6174
1164,1164,False,3,1146,5,3,6411,1146,5265,5265,1164 -> 5265 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
1165,1165,False,3,1156,5,4,6511,1156,5355,5355,1165 -> 5355 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
1166,1166,False,2,1166,5,5,6611,1166,5445,5445,1166 -> 5445 -> 1089 -> 9621 -> 8352 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
1167,1167,False,3,1167,6,5,7611,1167,6444,6444,1167 -> 6444 -> 1998 -> 8082 -> 8532 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
1168,1168,False,3,1168,7,5,8611,1168,7443,7443,1168 -> 7443 -> 3996 -> 6264 -> 4176 -> 6174 -> 6174,6174,6174,5,5,,True,False,False,1,6174 -> 6174
